,amount,term,age,education,gender,bad,month_num,gender2
0,1000,30,45,High School or Below,male,0,6,1
1,1000,30,50,Bachelor,female,0,7,0
2,1000,30,33,Bachelor,female,0,8,0
3,1000,15,27,college,male,0,9,1
4,1000,30,28,college,female,0,10,0
5,300,7,35,Master or Above,male,0,7,1
6,1000,30,29,college,male,0,9,1
7,1000,30,36,college,male,0,5,1
8,1000,30,28,college,male,0,5,1
9,800,15,26,college,male,0,4,1
10,300,7,29,college,male,0,4,1
11,1000,15,39,High School or Below,male,0,9,1
12,1000,30,26,college,male,0,12,1
13,900,7,26,college,female,0,5,0
14,1000,7,27,High School or Below,male,0,5,1
15,800,15,26,college,male,0,7,1
16,1000,30,40,High School or Below,male,0,7,1
17,1000,15,32,High School or Below,male,0,1,1
18,1000,30,32,High School or Below,male,0,8,1
19,800,30,26,college,male,0,4,1
20,1000,30,26,college,male,0,7,1
21,1000,30,43,High School or Below,female,0,5,0
22,1000,30,25,High School or Below,male,0,10,1
23,1000,15,26,college,male,0,8,1
24,1000,30,26,college,male,0,3,1
25,1000,30,29,High School or Below,male,0,8,1
26,800,15,39,Bachelor,male,0,4,1
27,1000,15,34,Bachelor,male,0,6,1
28,1000,30,31,college,male,0,6,1
29,1000,30,33,college,male,0,11,1
30,800,15,33,High School or Below,male,0,2,1
31,1000,30,37,college,male,0,3,1
32,1000,30,27,college,male,0,5,1
33,1000,30,37,college,male,0,10,1
34,800,15,33,college,male,0,1,1
35,800,15,29,Bachelor,male,0,1,1
36,1000,30,27,High School or Below,male,0,7,1
37,700,15,33,High School or Below,male,0,9,1
38,1000,15,24,college,male,0,5,1
39,1000,30,21,Bachelor,male,0,2,1
40,1000,15,32,college,female,0,9,0
41,800,15,30,college,male,0,2,1
42,1000,7,31,Bachelor,male,0,1,1
43,1000,15,30,college,male,0,10,1
44,1000,15,24,Bachelor,female,0,7,0
45,800,7,35,High School or Below,male,0,7,1
46,1000,30,22,High School or Below,male,0,7,1
47,1000,30,32,college,male,0,7,1
48,1000,30,32,Bachelor,male,0,9,1
49,800,15,50,High School or Below,male,0,2,1
50,800,15,27,college,female,0,12,0
51,1000,30,35,Bachelor,female,0,7,0
52,800,15,35,Bachelor,female,0,11,0
53,1000,30,34,High School or Below,male,0,1,1
54,1000,30,21,High School or Below,male,0,10,1
55,1000,15,25,college,male,0,7,1
56,1000,30,27,High School or Below,male,0,5,1
57,1000,30,26,Bachelor,male,0,5,1
58,800,15,44,High School or Below,female,0,12,0
59,800,15,39,Master or Above,male,0,1,1
60,1000,30,34,Bachelor,male,0,12,1
61,1000,15,37,college,male,0,9,1
62,1000,30,34,High School or Below,male,0,1,1
63,1000,30,45,college,male,0,4,1
64,800,15,24,High School or Below,male,0,3,1
65,900,15,28,college,male,0,2,1
66,1000,30,28,Bachelor,male,0,7,1
67,1000,30,37,High School or Below,male,0,9,1
68,300,7,35,college,male,0,12,1
69,1000,30,43,Bachelor,male,0,11,1
70,800,15,29,college,male,0,4,1
71,800,15,29,High School or Below,male,0,7,1
72,1000,30,33,Bachelor,female,0,8,0
73,1000,15,34,college,male,0,4,1
74,1000,15,25,college,male,0,7,1
75,1000,30,30,High School or Below,male,0,4,1
76,1000,30,31,Bachelor,male,0,2,1
77,1000,30,35,college,male,0,12,1
78,1000,30,37,college,female,0,11,0
79,1000,30,44,High School or Below,female,0,6,0
80,1000,30,28,High School or Below,male,0,7,1
81,1000,7,25,college,male,0,9,1
82,1000,15,29,college,male,0,11,1
83,800,15,33,college,male,0,11,1
84,1000,30,37,High School or Below,female,0,4,0
85,1000,30,33,college,male,0,2,1
86,1000,30,24,High School or Below,female,0,11,0
87,1000,30,27,college,female,0,5,0
88,800,15,43,Bachelor,male,0,5,1
89,800,15,46,High School or Below,female,0,8,0
90,800,15,34,college,female,0,12,0
91,1000,7,32,Bachelor,female,0,8,0
92,800,15,38,High School or Below,male,0,3,1
93,800,15,27,High School or Below,male,0,12,1
94,1000,30,33,High School or Below,male,0,12,1
95,1000,30,36,college,male,0,7,1
96,1000,15,26,High School or Below,male,0,11,1
97,1000,30,34,college,male,0,2,1
98,1000,30,22,High School or Below,male,0,1,1
99,1000,30,31,Bachelor,female,0,6,0
100,1000,7,29,High School or Below,male,0,6,1
101,800,15,38,college,male,0,11,1
102,1000,30,30,college,male,0,8,1
103,1000,15,45,High School or Below,male,0,10,1
104,1000,15,35,college,male,0,2,1
105,1000,30,30,college,male,0,6,1
106,1000,30,31,High School or Below,male,0,9,1
107,1000,30,31,High School or Below,male,0,9,1
108,1000,30,28,college,male,0,7,1
109,1000,7,29,college,male,0,7,1
110,800,15,29,college,male,0,8,1
111,1000,30,27,college,female,0,1,0
112,1000,30,27,college,male,0,5,1
113,1000,30,33,college,male,0,8,1
114,1000,30,28,college,male,0,11,1
115,1000,15,25,High School or Below,male,0,7,1
116,1000,30,40,college,male,0,3,1
117,1000,30,23,High School or Below,male,0,10,1
118,1000,30,35,Bachelor,male,0,5,1
119,800,15,24,college,male,0,6,1
120,1000,30,34,college,male,0,4,1
121,1000,30,22,High School or Below,male,0,1,1
122,1000,15,20,college,male,0,6,1
123,1000,15,23,college,male,0,11,1
124,1000,30,33,college,male,0,7,1
125,1000,30,26,college,male,0,8,1
126,1000,15,28,High School or Below,male,0,3,1
127,800,15,43,High School or Below,male,0,10,1
128,1000,15,34,Bachelor,male,0,10,1
129,1000,30,38,Bachelor,male,0,6,1
130,1000,15,26,High School or Below,male,0,6,1
131,800,15,43,High School or Below,male,0,1,1
132,1000,30,26,High School or Below,male,0,9,1
133,1000,30,33,college,female,0,5,0
134,800,15,24,college,male,0,1,1
135,1000,30,30,High School or Below,male,0,7,1
136,800,15,32,High School or Below,female,0,11,0
137,1000,15,22,college,male,0,11,1
138,1000,15,47,High School or Below,male,0,4,1
139,1000,30,20,High School or Below,male,0,3,1
140,1000,30,28,High School or Below,male,0,5,1
141,800,15,35,college,male,0,7,1
142,1000,7,27,High School or Below,male,0,1,1
143,800,15,33,college,female,0,1,0
144,1000,30,30,High School or Below,male,0,11,1
145,1000,15,31,college,male,0,6,1
146,1000,30,26,college,female,0,10,0
147,300,7,37,Master or Above,male,0,11,1
148,1000,15,26,Bachelor,male,0,10,1
149,800,15,35,Bachelor,male,0,8,1
150,1000,15,29,college,male,0,3,1
151,800,15,23,college,male,0,12,1
152,500,15,23,college,female,0,6,0
153,1000,15,30,college,male,0,6,1
154,1000,30,34,college,male,0,10,1
155,1000,30,36,High School or Below,female,0,8,0
156,1000,15,26,Bachelor,male,0,8,1
157,800,15,29,High School or Below,male,0,12,1
158,1000,15,28,college,female,0,10,0
159,1000,30,27,High School or Below,male,0,12,1
160,1000,15,24,High School or Below,male,0,5,1
161,800,15,31,Bachelor,male,0,4,1
162,1000,30,28,High School or Below,male,0,4,1
163,1000,15,27,college,female,0,5,0
164,1000,15,25,High School or Below,male,0,3,1
165,1000,30,24,High School or Below,male,0,11,1
